driver_label,trip_start,x,y
0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.2
0.0,0.0,0.0,-0.2
0.0,0.0,0.0,-0.2
0.0,0.0,0.1,-0.3
0.0,0.0,0.1,-0.3
0.0,0.0,0.1,-0.3
0.0,0.0,0.1,-0.3
0.0,0.0,0.1,-0.3
0.0,0.0,-0.1,-0.4
0.0,0.0,-0.1,-0.5
0.0,0.0,-0.1,-0.5
0.0,0.0,0.0,-0.6
0.0,0.0,0.0,-0.6
0.0,0.0,0.0,-0.6
0.0,0.0,0.0,-0.6
0.0,0.0,0.0,-0.7
0.0,0.0,0.0,-0.7
0.0,0.0,-0.4,-0.9
0.0,0.0,0.0,-0.7
0.0,0.0,0.0,-0.7
0.0,0.0,0.0,-0.7
0.0,0.0,0.0,-0.7
0.0,0.0,-0.4,-0.9
0.0,0.0,-0.4,-0.9
0.0,0.0,-0.4,-0.9
0.0,0.0,-0.4,-0.9
0.0,0.0,-0.4,-0.9
0.0,0.0,-0.4,-0.9
0.0,0.0,-0.4,-0.9
0.0,0.0,-0.4,-0.9
0.0,0.0,-0.4,-0.9
0.0,0.0,-0.4,-0.9
0.0,0.0,-0.4,-0.9
0.0,0.0,-0.4,-0.9
0.0,0.0,-0.4,-0.9
0.0,0.0,-0.4,-0.9
0.0,0.0,-0.4,-0.9
0.0,0.0,-0.4,-0.9
0.0,0.0,-0.4,-0.9
0.0,0.0,-0.4,-0.9
0.0,0.0,-0.4,-0.9
0.0,0.0,-0.4,-0.9
0.0,0.0,-0.4,-0.9
0.0,0.0,-0.4,-0.9
0.0,0.0,-0.4,-0.9
0.0,0.0,-0.4,-0.9
0.0,0.0,-0.4,-0.9
0.0,0.0,-0.4,-0.9
0.0,0.0,-0.4,-0.9
0.0,0.0,-0.4,-0.9
0.0,0.0,-0.4,-0.9
0.0,0.0,-0.8,-1.0
0.0,0.0,-0.8,-1.0
0.0,0.0,-0.8,-1.0
0.0,0.0,-0.8,-1.1
0.0,0.0,-0.8,-1.1
0.0,0.0,-0.8,-1.1
0.0,0.0,-0.8,-1.1
0.0,0.0,-0.8,-1.1
0.0,0.0,-0.8,-1.1
0.0,0.0,-0.8,-1.1
0.0,0.0,-0.8,-1.2
0.0,0.0,-0.8,-1.2
0.0,0.0,-0.7,-1.3
0.0,0.0,-0.7,-1.3
0.0,0.0,-0.7,-1.4
0.0,0.0,-0.7,-1.4
0.0,0.0,-0.7,-1.3
0.0,0.0,-0.7,-1.3
0.0,0.0,-0.7,-1.3
0.0,0.0,-0.7,-1.3
0.0,0.0,-0.7,-1.3
0.0,0.0,-0.7,-1.3
0.0,0.0,-0.7,-1.3
0.0,0.0,-0.7,-1.3
0.0,0.0,-0.7,-1.3
0.0,0.0,-0.7,-1.3
0.0,0.0,-0.7,-1.3
0.0,0.0,-0.7,-1.3
0.0,0.0,-0.7,-1.3
0.0,0.0,-0.7,-1.3
0.0,0.0,-0.7,-1.3
0.0,0.0,-0.7,-1.3
0.0,0.0,-0.7,-1.3
0.0,0.0,-0.7,-1.3
0.0,0.0,-0.7,-1.3
0.0,0.0,-0.7,-1.3
0.0,0.0,-0.7,-1.3
0.0,0.0,-0.7,-1.3
0.0,0.0,-0.7,-1.3
0.0,0.0,-0.7,-1.3
0.0,0.0,-0.7,-1.3
0.0,0.0,-1.1,-1.5
0.0,0.0,-1.1,-1.5
0.0,0.0,-1.1,-1.5
0.0,0.0,-1.1,-1.5
0.0,0.0,-1.1,-1.5
0.0,0.0,-1.1,-1.5
0.0,0.0,-1.1,-1.6
0.0,0.0,-1.1,-1.6
0.0,0.0,-1.1,-1.6
0.0,0.0,-1.1,-1.6
0.0,0.0,-1.1,-1.6
0.0,0.0,-1.1,-1.6
0.0,0.0,-1.1,-1.6
0.0,0.0,-1.1,-1.6
0.0,0.0,-1.1,-1.6
0.0,0.0,-1.1,-1.6
0.0,0.0,-1.1,-1.6
0.0,0.0,-1.1,-1.6
0.0,0.0,-1.1,-1.6
0.0,0.0,-1.1,-1.6
0.0,0.0,-1.1,-1.6
0.0,0.0,-1.1,-1.6
0.0,0.0,-1.1,-1.6
0.0,0.0,-1.1,-1.6
0.0,0.0,-1.1,-1.6
0.0,0.0,-1.0,-1.6
0.0,0.0,-1.4,-1.8
0.0,0.0,-1.4,-1.8
0.0,0.0,-1.4,-1.8
0.0,0.0,-1.4,-1.8
0.0,0.0,-1.4,-1.8
0.0,0.0,-1.4,-1.8
0.0,0.0,-1.4,-1.8
0.0,0.0,-1.4,-1.8
0.0,0.0,-1.4,-1.8
0.0,0.0,-1.4,-1.8
0.0,0.0,-1.4,-1.8
0.0,0.0,-1.4,-1.8
0.0,0.0,-1.5,-1.7
0.0,0.0,-1.5,-1.7
0.0,0.0,-1.5,-1.7
0.0,0.0,-1.5,-1.7
0.0,0.0,-1.5,-1.7
0.0,0.0,-1.5,-1.7
0.0,0.0,-1.5,-1.7
0.0,0.0,-1.5,-1.7
0.0,0.0,-1.5,-1.7
0.0,0.0,-1.5,-1.7
0.0,0.0,-1.5,-1.6
0.0,0.0,-1.5,-1.6
0.0,0.0,-1.5,-1.6
0.0,0.0,-1.5,-1.6
0.0,0.0,-1.5,-1.6
0.0,0.0,-1.5,-1.6
0.0,0.0,-1.5,-1.6
0.0,0.0,-1.5,-1.6
0.0,0.0,-1.5,-1.5
0.0,0.0,-1.5,-1.5
0.0,0.0,-1.6,-1.4
0.0,0.0,-1.6,-1.3
0.0,0.0,-1.6,-1.3
0.0,0.0,-1.6,-1.3
0.0,0.0,-1.6,-1.3
0.0,0.0,-1.6,-1.3
0.0,0.0,-1.7,-1.2
0.0,0.0,-1.7,-1.2
0.0,0.0,-1.7,-1.2
0.0,0.0,-1.7,-1.2
0.0,0.0,-1.3,-0.9
0.0,0.0,-1.4,-0.8
0.0,0.0,-1.4,-0.8
0.0,0.0,-1.4,-0.7
0.0,0.0,-1.4,-0.7
0.0,0.0,-1.4,-0.5
0.0,0.0,-1.4,-0.5
0.0,0.0,-1.4,-0.5
0.0,0.0,-1.4,-0.5
0.0,0.0,-1.4,-0.5
0.0,0.0,-1.4,-0.5
0.0,0.0,-1.4,-0.5
0.0,0.0,-1.4,-0.5
0.0,0.0,-1.4,-0.5
0.0,0.0,-1.4,-0.7
0.0,0.0,-1.4,-0.7
0.0,0.0,-1.4,-0.7
